[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: GeForce RTX 2070 SUPER
 Shmoo Mode

.................................................................................
 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.5
   2000				0.8
   3000				1.2
   4000				1.6
   5000				2.0
   6000				2.4
   7000				2.7
   8000				3.1
   9000				3.5
   10000			3.9
   11000			4.2
   12000			4.6
   13000			4.9
   14000			5.2
   15000			5.4
   16000			5.6
   17000			5.8
   18000			6.0
   19000			6.1
   20000			6.3
   22000			6.6
   24000			6.9
   26000			7.2
   28000			7.4
   30000			7.6
   32000			7.8
   34000			8.0
   36000			8.2
   38000			8.4
   40000			8.5
   42000			8.6
   44000			8.8
   46000			8.9
   48000			9.1
   50000			9.2
   60000			9.7
   70000			10.0
   80000			10.2
   90000			10.6
   100000			10.8
   200000			11.7
   300000			12.3
   400000			12.5
   500000			12.6
   600000			12.7
   700000			12.7
   800000			12.8
   900000			12.8
   1000000			12.8
   2000000			13.0
   3000000			13.0
   4000000			13.0
   5000000			13.0
   6000000			13.1
   7000000			13.1
   8000000			13.1
   9000000			13.1
   10000000			13.1
   11000000			13.1
   12000000			13.1
   13000000			13.1
   14000000			13.1
   15000000			13.1
   16000000			13.1
   18000000			13.0
   20000000			13.1
   22000000			12.5
   24000000			12.4
   26000000			12.5
   28000000			13.1
   30000000			13.1
   32000000			13.1
   36000000			13.1
   40000000			13.1
   44000000			13.1
   48000000			13.1
   52000000			13.1
   56000000			13.1
   60000000			13.1
   64000000			13.1
   68000000			13.1

.................................................................................
 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.5
   2000				0.9
   3000				1.4
   4000				1.8
   5000				2.4
   6000				2.8
   7000				3.3
   8000				3.7
   9000				4.2
   10000			4.6
   11000			5.1
   12000			5.6
   13000			6.1
   14000			6.4
   15000			7.0
   16000			7.6
   17000			7.9
   18000			8.5
   19000			8.9
   20000			8.6
   22000			8.9
   24000			9.6
   26000			9.8
   28000			10.0
   30000			10.1
   32000			10.4
   34000			10.4
   36000			10.5
   38000			10.6
   40000			10.8
   42000			10.7
   44000			11.0
   46000			11.1
   48000			7.5
   50000			11.1
   60000			11.6
   70000			11.8
   80000			12.0
   90000			12.2
   100000			12.3
   200000			12.8
   300000			13.1
   400000			13.1
   500000			13.2
   600000			13.3
   700000			13.3
   800000			13.3
   900000			13.3
   1000000			13.3
   2000000			13.4
   3000000			13.4
   4000000			13.5
   5000000			13.5
   6000000			13.5
   7000000			13.5
   8000000			13.5
   9000000			13.5
   10000000			13.5
   11000000			13.5
   12000000			13.5
   13000000			13.5
   14000000			13.5
   15000000			13.5
   16000000			13.5
   18000000			13.5
   20000000			13.5
   22000000			13.5
   24000000			13.5
   26000000			13.5
   28000000			13.5
   30000000			13.5
   32000000			13.5
   36000000			13.5
   40000000			13.5
   44000000			13.5
   48000000			13.5
   52000000			13.5
   56000000			13.5
   60000000			13.5
   64000000			13.5
   68000000			13.5

.................................................................................
 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.8
   2000				1.3
   3000				1.9
   4000				2.6
   5000				3.3
   6000				3.9
   7000				4.3
   8000				7.0
   9000				5.8
   10000			6.5
   11000			7.2
   12000			7.8
   13000			8.5
   14000			3.8
   15000			8.9
   16000			9.6
   17000			10.1
   18000			10.8
   19000			11.4
   20000			12.1
   22000			13.3
   24000			14.6
   26000			15.8
   28000			17.0
   30000			18.2
   32000			19.0
   34000			20.4
   36000			20.7
   38000			22.5
   40000			23.9
   42000			25.1
   44000			26.6
   46000			26.5
   48000			29.1
   50000			30.1
   60000			34.7
   70000			42.5
   80000			24.6
   90000			52.9
   100000			59.6
   200000			120.7
   300000			189.0
   400000			255.8
   500000			303.1
   600000			401.1
   700000			482.1
   800000			577.2
   900000			605.6
   1000000			636.8
   2000000			670.1
   3000000			310.6
   4000000			323.5
   5000000			334.1
   6000000			340.1
   7000000			345.6
   8000000			351.2
   9000000			334.1
   10000000			356.1
   11000000			356.5
   12000000			358.7
   13000000			359.9
   14000000			336.0
   15000000			356.6
   16000000			344.0
   18000000			347.2
   20000000			366.3
   22000000			356.5
   24000000			358.1
   26000000			359.5
   28000000			360.7
   30000000			362.0
   32000000			362.8
   36000000			357.5
   40000000			366.3
   44000000			367.2
   48000000			366.4
   52000000			368.9
   56000000			364.2
   60000000			360.9
   64000000			372.4
   68000000			371.4

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
