[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: Quadro K420
 Shmoo Mode

.................................................................................
 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				565.4
   2048				820.9
   3072				1216.0
   4096				1634.4
   5120				2008.9
   6144				2244.2
   7168				2478.2
   8192				2702.7
   9216				2904.6
   10240			3054.4
   11264			3256.4
   12288			3433.8
   13312			3554.9
   14336			3659.6
   15360			3782.7
   16384			3877.5
   17408			3943.9
   18432			4068.4
   19456			4111.6
   20480			4162.5
   22528			4289.1
   24576			4421.4
   26624			4497.6
   28672			4586.4
   30720			4675.3
   32768			4737.3
   34816			4803.1
   36864			4857.1
   38912			4844.6
   40960			4975.7
   43008			5005.9
   45056			5046.4
   47104			5087.1
   49152			5113.5
   51200			5165.3
   61440			5304.1
   71680			5394.4
   81920			5490.3
   92160			5551.3
   102400			5607.3
   204800			5860.8
   307200			5951.1
   409600			5990.6
   512000			6024.6
   614400			6037.6
   716800			6057.8
   819200			6066.8
   921600			6075.4
   1024000			6052.3
   1126400			6057.8
   2174976			6033.3
   3223552			6069.4
   4272128			6085.7
   5320704			6096.3
   6369280			6102.2
   7417856			6109.4
   8466432			6112.4
   9515008			6114.5
   10563584			6118.2
   11612160			5524.9
   12660736			5527.7
   13709312			5539.1
   14757888			5549.3
   15806464			5543.4
   16855040			5545.0
   18952192			5542.1
   21049344			5752.9
   23146496			6129.5
   25243648			6134.9
   27340800			6129.8
   29437952			6132.2
   31535104			6132.5
   33632256			6133.1
   37826560			6133.8
   42020864			6134.5
   46215168			6135.1
   50409472			6135.8
   54603776			6136.2
   58798080			6136.4
   62992384			6136.5
   67186688			6136.6

.................................................................................
 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				525.7
   2048				1062.4
   3072				1689.8
   4096				1876.9
   5120				2661.8
   6144				3062.7
   7168				3308.4
   8192				3474.2
   9216				3664.5
   10240			3844.7
   11264			4034.6
   12288			4152.4
   13312			4276.3
   14336			4357.6
   15360			4437.2
   16384			4563.7
   17408			4629.6
   18432			4688.7
   19456			4763.3
   20480			4875.2
   22528			4990.9
   24576			5092.3
   26624			5260.3
   28672			5337.6
   30720			5405.6
   32768			5450.8
   34816			5522.9
   36864			5571.0
   38912			5565.4
   40960			5654.6
   43008			5690.9
   45056			5636.4
   47104			5760.1
   49152			5786.6
   51200			5814.0
   61440			5929.8
   71680			5991.0
   81920			6069.1
   92160			6123.3
   102400			6164.7
   204800			6355.6
   307200			6366.5
   409600			6407.8
   512000			6447.7
   614400			6465.8
   716800			6479.3
   819200			6489.2
   921600			6496.6
   1024000			6466.5
   1126400			6473.9
   2174976			6433.2
   3223552			6472.1
   4272128			6493.2
   5320704			6504.8
   6369280			6515.2
   7417856			6521.6
   8466432			6525.3
   9515008			6529.6
   10563584			6533.2
   11612160			6534.3
   12660736			6537.1
   13709312			6538.2
   14757888			6539.8
   15806464			6541.5
   16855040			6542.0
   18952192			6544.0
   21049344			6545.7
   23146496			6547.3
   25243648			6547.9
   27340800			6548.5
   29437952			6549.5
   31535104			6549.9
   33632256			6550.3
   37826560			6551.4
   42020864			6552.5
   46215168			6552.9
   50409472			6553.3
   54603776			6553.8
   58798080			6554.2
   62992384			6554.3
   67186688			6554.5

.................................................................................
 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				500.9
   2048				962.9
   3072				1545.5
   4096				2239.5
   5120				2698.9
   6144				3728.4
   7168				4297.2
   8192				4011.9
   9216				5096.0
   10240			5636.7
   11264			6187.0
   12288			6285.6
   13312			6574.7
   14336			6141.6
   15360			6322.5
   16384			6984.2
   17408			7937.4
   18432			8692.6
   19456			8661.6
   20480			8211.3
   22528			8334.3
   24576			9683.7
   26624			10385.4
   28672			10099.8
   30720			10674.6
   32768			11619.1
   34816			12003.6
   36864			11012.1
   38912			12344.1
   40960			13290.8
   43008			12242.3
   45056			12214.1
   47104			13576.7
   49152			14308.9
   51200			12671.8
   61440			14704.2
   71680			11987.9
   81920			12254.3
   92160			13652.6
   102400			14125.3
   204800			12832.2
   307200			13713.4
   409600			14202.6
   512000			14595.8
   614400			14777.0
   716800			14925.6
   819200			15098.7
   921600			15199.7
   1024000			15275.8
   1126400			20007.2
   2174976			20627.6
   3223552			20744.1
   4272128			20949.5
   5320704			20994.7
   6369280			20992.6
   7417856			21041.9
   8466432			21007.5
   9515008			21103.5
   10563584			21115.6
   11612160			21140.6
   12660736			21128.2
   13709312			21108.6
   14757888			21126.4
   15806464			21104.7
   16855040			21169.3
   18952192			21178.8
   21049344			21177.4
   23146496			21119.7
   25243648			21164.4
   27340800			21190.1
   29437952			21192.1
   31535104			21198.5
   33632256			21202.8
   37826560			21159.0
   42020864			21219.7
   46215168			21206.9
   50409472			21225.9
   54603776			21184.6
   58798080			21201.7
   62992384			21230.8
   67186688			21164.0

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
